,id,gender,customer type,age,type of travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,satisfaction
39,101991,female,loyal customer,40,personal travel,eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0.0,neutral or dissatisfied
40,87447,female,disloyal customer,42,business travel,business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0.0,neutral or dissatisfied
41,16112,male,disloyal customer,24,business travel,eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4.0,satisfied
42,16172,male,loyal customer,22,business travel,business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177.0,neutral or dissatisfied
43,106558,female,loyal customer,28,business travel,business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3.0,satisfied
44,11536,female,loyal customer,36,business travel,eco plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0,neutral or dissatisfied
45,47773,female,loyal customer,62,business travel,eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90.0,satisfied
46,70521,female,loyal customer,60,business travel,business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
47,96283,female,loyal customer,59,personal travel,eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2.0,neutral or dissatisfied
48,117993,female,loyal customer,49,business travel,business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4.0,satisfied
49,74703,female,loyal customer,44,personal travel,eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0.0,neutral or dissatisfied
50,110840,female,loyal customer,58,personal travel,eco plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0,neutral or dissatisfied
51,88249,male,disloyal customer,24,business travel,business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32.0,satisfied
52,125877,female,loyal customer,53,business travel,eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0.0,satisfied
53,83968,male,loyal customer,56,business travel,eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0.0,neutral or dissatisfied
54,122719,female,loyal customer,30,business travel,business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0.0,satisfied
55,3949,male,disloyal customer,27,business travel,business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46.0,neutral or dissatisfied
56,45542,male,loyal customer,27,business travel,business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0.0,satisfied
57,43742,female,loyal customer,67,personal travel,eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0.0,neutral or dissatisfied
58,122093,female,loyal customer,32,personal travel,eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4.0,neutral or dissatisfied
59,121454,male,disloyal customer,36,business travel,eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0.0,neutral or dissatisfied
60,738,male,loyal customer,44,business travel,business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57.0,satisfied
61,75235,female,loyal customer,70,personal travel,eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0.0,neutral or dissatisfied
62,88653,female,loyal customer,55,personal travel,eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3.0,neutral or dissatisfied
63,26594,male,loyal customer,66,business travel,eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6.0,satisfied
64,38339,female,loyal customer,19,business travel,business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0.0,satisfied
65,46063,female,loyal customer,53,personal travel,eco plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0,neutral or dissatisfied
66,27957,male,loyal customer,22,business travel,business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0.0,neutral or dissatisfied
67,17270,female,loyal customer,69,personal travel,eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0.0,neutral or dissatisfied
68,87976,female,loyal customer,42,business travel,business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47.0,satisfied
69,31640,female,loyal customer,41,business travel,business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40.0,satisfied
70,41461,female,loyal customer,53,personal travel,business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0,neutral or dissatisfied
71,15143,male,loyal customer,35,business travel,business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0.0,neutral or dissatisfied
72,78136,female,loyal customer,54,personal travel,business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0.0,neutral or dissatisfied
73,120433,male,loyal customer,44,business travel,business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24.0,satisfied
74,41440,female,disloyal customer,26,business travel,eco plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,neutral or dissatisfied
75,15963,female,loyal customer,44,personal travel,eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0.0,neutral or dissatisfied
76,64303,female,disloyal customer,24,business travel,eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27.0,neutral or dissatisfied
77,3608,female,loyal customer,54,personal travel,eco,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0.0,neutral or dissatisfied
78,7744,male,loyal customer,42,business travel,eco plus,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0,neutral or dissatisfied
79,21276,male,disloyal customer,36,business travel,eco,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0.0,neutral or dissatisfied
80,58576,female,loyal customer,61,business travel,business,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20.0,satisfied
81,53888,female,loyal customer,50,personal travel,eco,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0.0,neutral or dissatisfied
82,10980,male,loyal customer,27,business travel,business,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52.0,satisfied
83,54151,male,loyal customer,55,business travel,business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0,neutral or dissatisfied
84,115641,male,disloyal customer,21,business travel,eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0,neutral or dissatisfied
85,58584,female,loyal customer,31,personal travel,business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0,neutral or dissatisfied
86,50472,female,disloyal customer,37,business travel,eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0,neutral or dissatisfied
87,102623,female,loyal customer,50,business travel,business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0,satisfied
88,31533,female,loyal customer,21,personal travel,eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0,neutral or dissatisfied
89,42287,female,loyal customer,53,business travel,eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0.0,neutral or dissatisfied
90,70467,male,loyal customer,45,business travel,business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0,satisfied
91,20461,female,disloyal customer,42,business travel,eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,neutral or dissatisfied
92,113346,male,loyal customer,59,business travel,business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,satisfied
93,115566,female,loyal customer,54,business travel,eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0,neutral or dissatisfied
94,119896,female,loyal customer,46,business travel,business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0,satisfied
95,88853,female,loyal customer,52,personal travel,eco plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,neutral or dissatisfied
96,24895,female,loyal customer,38,personal travel,eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0,neutral or dissatisfied
97,31122,male,loyal customer,35,business travel,business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0,satisfied
98,91231,female,loyal customer,41,personal travel,eco,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0,neutral or dissatisfied
99,61426,female,disloyal customer,40,business travel,business,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0,neutral or dissatisfied
100,68873,female,disloyal customer,36,business travel,eco,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0,neutral or dissatisfied
101,125701,male,loyal customer,67,personal travel,eco,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0,neutral or dissatisfied
102,94999,female,loyal customer,38,personal travel,eco,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0,satisfied
103,56694,female,loyal customer,50,personal travel,eco,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0,neutral or dissatisfied
104,62010,male,loyal customer,50,business travel,business,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0,satisfied
105,95868,male,loyal customer,54,business travel,business,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0,satisfied
106,123064,male,loyal customer,56,business travel,business,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0,satisfied
107,103418,male,loyal customer,38,personal travel,eco,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0,neutral or dissatisfied
108,73456,female,loyal customer,7,personal travel,eco,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0,neutral or dissatisfied
109,8851,female,loyal customer,32,business travel,business,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0,satisfied
110,64241,male,loyal customer,45,business travel,eco,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0,neutral or dissatisfied
111,81723,male,disloyal customer,25,business travel,eco,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0,neutral or dissatisfied
112,88237,female,loyal customer,45,business travel,business,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
113,50619,male,loyal customer,34,personal travel,eco,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0.0,neutral or dissatisfied
114,54444,male,loyal customer,20,personal travel,eco plus,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,neutral or dissatisfied
115,64765,female,disloyal customer,36,business travel,eco,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0,neutral or dissatisfied
116,15941,male,disloyal customer,36,business travel,eco,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0,neutral or dissatisfied
117,14965,male,loyal customer,27,business travel,business,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0,satisfied
118,36897,male,loyal customer,40,personal travel,eco,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0,neutral or dissatisfied
119,127954,male,loyal customer,31,business travel,business,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0,satisfied
120,27872,male,loyal customer,25,business travel,eco plus,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0,satisfied
121,35854,male,loyal customer,42,business travel,business,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0,satisfied
122,14527,female,loyal customer,45,business travel,eco,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0,satisfied
123,47021,male,loyal customer,59,personal travel,business,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0,neutral or dissatisfied
124,11224,male,loyal customer,34,personal travel,eco,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0,neutral or dissatisfied
125,3921,female,loyal customer,22,personal travel,eco,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0,neutral or dissatisfied
126,69463,male,loyal customer,21,personal travel,eco,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0,neutral or dissatisfied
127,47050,male,loyal customer,26,business travel,business,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0,neutral or dissatisfied
128,21970,male,loyal customer,37,business travel,business,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0,satisfied
129,30046,male,loyal customer,38,business travel,business,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0,satisfied
130,1256,female,loyal customer,17,personal travel,eco,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0,neutral or dissatisfied
131,73813,male,loyal customer,15,personal travel,eco plus,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,neutral or dissatisfied
132,110928,female,loyal customer,53,personal travel,eco,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0,neutral or dissatisfied
133,102981,male,disloyal customer,39,business travel,business,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0,neutral or dissatisfied
134,61571,male,loyal customer,40,business travel,business,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
135,3796,female,disloyal customer,28,business travel,eco plus,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,neutral or dissatisfied
136,73906,female,disloyal customer,27,business travel,business,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0,neutral or dissatisfied
137,74090,female,loyal customer,41,business travel,business,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
138,76645,female,loyal customer,7,personal travel,eco,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0,neutral or dissatisfied
139,100462,male,disloyal customer,48,business travel,business,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0,neutral or dissatisfied
140,54164,male,loyal customer,13,business travel,eco,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0,neutral or dissatisfied
141,6147,female,loyal customer,48,business travel,business,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
142,1262,female,loyal customer,49,personal travel,eco,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0,neutral or dissatisfied
143,20310,male,disloyal customer,26,business travel,business,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0,satisfied
144,46896,male,loyal customer,22,business travel,business,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0,satisfied
145,7237,female,loyal customer,53,business travel,business,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0,neutral or dissatisfied
146,44293,female,loyal customer,43,business travel,eco,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
147,52496,male,loyal customer,56,business travel,business,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0,satisfied
148,68263,female,loyal customer,69,personal travel,eco,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0,neutral or dissatisfied
149,5289,male,loyal customer,59,personal travel,eco,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0,satisfied
150,109359,female,loyal customer,56,business travel,business,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0,satisfied
151,94988,male,loyal customer,11,personal travel,eco,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0,satisfied
152,53605,female,loyal customer,25,business travel,eco,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0,satisfied
153,11005,female,disloyal customer,29,business travel,eco,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0,satisfied
154,14794,female,loyal customer,48,business travel,eco,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0,satisfied
155,49480,female,loyal customer,42,business travel,business,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0,satisfied
156,120440,male,disloyal customer,15,business travel,eco,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,neutral or dissatisfied
157,55823,female,disloyal customer,49,business travel,business,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0,neutral or dissatisfied
158,107792,male,loyal customer,41,business travel,business,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0,satisfied
159,80531,male,loyal customer,43,business travel,business,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,satisfied
160,128145,male,loyal customer,60,business travel,business,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0,satisfied
161,63370,female,loyal customer,42,personal travel,eco,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0,satisfied
162,12452,female,loyal customer,8,personal travel,eco,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0,neutral or dissatisfied
163,16145,female,loyal customer,42,business travel,eco,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0,satisfied
164,44418,male,disloyal customer,18,business travel,eco plus,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,neutral or dissatisfied
165,95746,male,loyal customer,47,business travel,business,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0,satisfied
166,41134,female,disloyal customer,27,business travel,eco,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0,neutral or dissatisfied
167,3214,female,loyal customer,67,personal travel,eco plus,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,neutral or dissatisfied
168,74101,male,disloyal customer,38,business travel,business,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0,satisfied
169,106220,female,disloyal customer,20,business travel,eco,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0,neutral or dissatisfied
170,88134,female,loyal customer,60,business travel,business,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0,satisfied
171,64475,male,disloyal customer,23,business travel,business,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0,satisfied
172,123812,male,disloyal customer,25,business travel,business,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0,neutral or dissatisfied
173,88893,female,loyal customer,38,business travel,business,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
174,31244,female,loyal customer,40,business travel,business,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0,satisfied
175,97762,male,loyal customer,19,personal travel,eco,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,neutral or dissatisfied
176,59851,female,loyal customer,61,business travel,business,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0,satisfied
177,25137,male,loyal customer,44,personal travel,eco,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0,neutral or dissatisfied
178,18412,female,loyal customer,22,personal travel,eco,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0,neutral or dissatisfied
179,87192,female,disloyal customer,8,business travel,eco,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0,neutral or dissatisfied
180,127062,female,loyal customer,45,business travel,business,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0,neutral or dissatisfied
181,112169,male,loyal customer,46,personal travel,eco,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0,satisfied
182,127798,female,loyal customer,54,business travel,business,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0,neutral or dissatisfied
183,91778,male,loyal customer,62,personal travel,eco,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0,neutral or dissatisfied
184,42609,female,loyal customer,25,business travel,business,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0,satisfied
185,67482,female,loyal customer,32,personal travel,eco,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0,neutral or dissatisfied
186,91108,female,loyal customer,65,personal travel,eco,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0,neutral or dissatisfied
187,102318,male,disloyal customer,40,business travel,business,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0,neutral or dissatisfied
188,51281,female,loyal customer,30,business travel,eco plus,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0,satisfied
189,6528,female,loyal customer,67,personal travel,eco,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
190,121232,male,loyal customer,51,business travel,business,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
191,72478,female,loyal customer,47,business travel,business,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0,satisfied
192,122788,female,loyal customer,38,business travel,eco,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0,neutral or dissatisfied
193,5528,male,loyal customer,54,business travel,business,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0,satisfied
194,107726,female,loyal customer,57,personal travel,eco,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4.0,neutral or dissatisfied
195,72606,male,loyal customer,13,personal travel,eco,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0.0,neutral or dissatisfied
196,75522,female,disloyal customer,20,business travel,eco,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0.0,satisfied
197,125687,female,loyal customer,45,business travel,business,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94.0,neutral or dissatisfied
198,79908,female,loyal customer,51,business travel,business,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0.0,satisfied
199,117345,male,disloyal customer,25,business travel,business,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0.0,satisfied
200,73465,female,loyal customer,39,personal travel,eco,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163.0,neutral or dissatisfied
201,95851,female,loyal customer,46,business travel,business,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16.0,satisfied
202,44992,male,loyal customer,53,business travel,eco,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0.0,neutral or dissatisfied
203,70631,female,loyal customer,61,personal travel,eco,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0.0,satisfied
204,13761,female,loyal customer,61,business travel,eco plus,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102.0,satisfied
