id;Gender;Customer Type;Age;Type of Travel;Class;Flight Distance;Inflight wifi service;Departure/Arrival time convenient;Ease of Online booking;Gate location;Food and drink;Online boarding;Seat comfort;Inflight entertainment;On-board service;Leg room service;Baggage handling;Checkin service;Inflight service;Cleanliness;Departure Delay in Minutes;Arrival Delay in Minutes;satisfaction;Departure_Delay_Category;Arrival_Delay_Category
76872;Female;Loyal Customer;43;Personal Travel;Eco;1927;3;4;3;1;4;4;5;5;5;3;5;4;5;3;0;00.00;neutral or dissatisfied;No Delay;No Delay
64287;Female;Loyal Customer;50;Business travel;Business;3799;5;5;5;5;4;5;4;4;4;5;4;5;4;5;8;00.00;satisfied;Short Delay (0-15 min);No Delay
63995;Male;Loyal Customer;60;Business travel;Business;612;4;4;4;4;2;4;5;5;5;5;5;5;5;5;21;49.00.00;satisfied;Medium Delay (15-30 min);Long Delay (>30 min)
75855;Male;Loyal Customer;43;Personal Travel;Eco;1437;3;4;3;4;2;3;2;2;4;2;4;4;5;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
106181;Male;Loyal Customer;55;Personal Travel;Eco;302;1;2;4;3;4;4;4;4;1;3;2;4;3;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
44304;Male;Loyal Customer;25;Business travel;Business;1428;4;4;4;4;4;4;4;4;1;5;3;1;5;4;0;00.00;satisfied;No Delay;No Delay
82602;Female;disloyal Customer;30;Business travel;Eco;528;4;3;5;3;2;5;2;2;3;2;3;4;4;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
7823;Male;Loyal Customer;62;Personal Travel;Eco;710;3;5;3;4;2;3;2;2;3;5;5;4;4;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
127781;Male;Loyal Customer;24;Business travel;Business;3680;4;1;4;4;2;2;2;2;5;5;5;5;4;2;0;00.00;satisfied;No Delay;No Delay
34501;Female;Loyal Customer;22;Business travel;Eco;1521;4;1;1;1;4;4;4;4;1;4;1;1;5;4;3;13.00;satisfied;Short Delay (0-15 min);Short Delay (0-15 min)
121658;Male;Loyal Customer;44;Business travel;Business;1543;3;5;3;3;5;4;5;5;5;5;5;5;5;5;0;00.00;satisfied;No Delay;No Delay
20219;Male;Loyal Customer;51;Business travel;Eco;235;4;3;3;3;4;4;4;4;3;2;3;3;4;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
67551;Male;Loyal Customer;43;Personal Travel;Business;1235;1;5;1;1;1;1;4;3;3;1;5;4;3;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
48994;Female;Loyal Customer;56;Business travel;Eco;308;2;3;3;3;5;2;5;2;2;2;2;2;2;2;0;00.00;satisfied;No Delay;No Delay
70811;Male;disloyal Customer;41;Business travel;Eco;624;2;3;2;4;5;2;5;5;4;3;3;1;4;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
75241;Male;Loyal Customer;22;Personal Travel;Eco;1846;4;5;4;4;5;4;5;5;5;4;4;4;4;5;40;68.00.00;neutral or dissatisfied;Long Delay (>30 min);Long Delay (>30 min)
12312;Female;Loyal Customer;53;Business travel;Eco;192;5;2;2;2;3;4;2;5;5;5;5;2;5;4;0;01.00;satisfied;No Delay;Short Delay (0-15 min)
48372;Male;Loyal Customer;12;Personal Travel;Eco;674;3;4;3;1;1;3;1;1;3;3;5;4;4;1;80;70.00.00;neutral or dissatisfied;Long Delay (>30 min);Long Delay (>30 min)
51477;Female;Loyal Customer;39;Business travel;Business;370;3;3;3;3;2;4;5;4;4;4;4;4;4;5;10;12.00;satisfied;Short Delay (0-15 min);Short Delay (0-15 min)
84204;Female;Loyal Customer;55;Business travel;Business;3169;1;1;1;1;3;5;4;5;5;5;5;3;5;5;73;68.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
70990;Female;disloyal Customer;32;Business travel;Business;802;4;4;4;2;2;4;4;2;4;2;4;3;5;2;0;10.00;neutral or dissatisfied;No Delay;Short Delay (0-15 min)
101991;Female;Loyal Customer;40;Personal Travel;Eco;628;1;4;1;3;5;1;5;5;3;2;5;5;4;5;4;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
87447;Female;disloyal Customer;42;Business travel;Business;373;3;3;3;5;4;3;4;4;3;2;5;5;5;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
16112;Male;disloyal Customer;24;Business travel;Eco;725;4;4;4;2;2;4;2;2;4;2;3;1;5;2;0;04.00;satisfied;No Delay;Short Delay (0-15 min)
16172;Male;Loyal Customer;22;Business travel;Business;277;3;3;3;3;3;3;3;1;5;4;3;3;2;3;116;177.00.00;neutral or dissatisfied;Long Delay (>30 min);Long Delay (>30 min)
106558;Female;Loyal Customer;28;Business travel;Business;1024;1;1;1;1;4;4;4;4;5;3;5;5;4;4;0;03.00;satisfied;No Delay;Short Delay (0-15 min)
11536;Female;Loyal Customer;36;Business travel;Eco Plus;267;2;3;3;3;2;2;2;2;1;1;3;4;4;2;59;55.00.00;neutral or dissatisfied;Long Delay (>30 min);Long Delay (>30 min)
47773;Female;Loyal Customer;62;Business travel;Eco;550;5;1;1;1;4;2;1;5;5;5;5;5;5;2;92;90.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
70521;Female;Loyal Customer;60;Business travel;Business;1889;2;2;3;2;3;5;4;5;5;5;5;5;5;3;0;00.00;satisfied;No Delay;No Delay
96283;Female;Loyal Customer;59;Personal Travel;Eco;460;2;5;2;5;3;3;4;5;5;2;4;1;5;2;4;02.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
117993;Female;Loyal Customer;49;Business travel;Business;3295;4;4;3;4;2;5;4;5;5;5;5;5;5;3;0;04.00;satisfied;No Delay;Short Delay (0-15 min)
74703;Female;Loyal Customer;44;Personal Travel;Eco;1205;2;4;2;3;4;4;3;4;4;2;4;2;4;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
110840;Female;Loyal Customer;58;Personal Travel;Eco Plus;990;3;5;2;3;3;4;5;1;1;2;1;5;1;3;0;00.00;neutral or dissatisfied;No Delay;No Delay
88249;Male;disloyal Customer;24;Business travel;Business;444;4;0;4;2;2;4;2;2;5;3;5;3;5;2;20;32.00.00;satisfied;Medium Delay (15-30 min);Long Delay (>30 min)
125877;Female;Loyal Customer;53;Business travel;Eco;520;4;2;2;2;3;3;4;4;4;4;4;3;4;3;17;00.00;satisfied;Medium Delay (15-30 min);No Delay
83968;Male;Loyal Customer;56;Business travel;Eco;321;2;3;4;3;2;2;2;2;2;5;3;3;3;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
122719;Female;Loyal Customer;30;Business travel;Business;651;3;3;4;3;5;5;5;5;4;5;4;3;5;5;0;00.00;satisfied;No Delay;No Delay
3949;Male;disloyal Customer;27;Business travel;Business;764;3;3;3;2;2;3;2;2;2;1;3;3;2;2;30;46.00.00;neutral or dissatisfied;Medium Delay (15-30 min);Long Delay (>30 min)
45542;Male;Loyal Customer;27;Business travel;Business;566;3;3;3;3;5;5;5;5;4;3;1;1;1;5;0;00.00;satisfied;No Delay;No Delay
43742;Female;Loyal Customer;67;Personal Travel;Eco;626;3;4;3;1;2;4;5;3;3;3;3;3;3;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
122093;Female;Loyal Customer;32;Personal Travel;Eco;130;3;0;3;3;4;3;5;4;2;2;4;5;3;4;3;04.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
121454;Male;disloyal Customer;36;Business travel;Eco;331;2;0;2;1;1;2;1;1;4;3;4;1;3;1;0;00.00;neutral or dissatisfied;No Delay;No Delay
738;Male;Loyal Customer;44;Business travel;Business;158;3;3;3;3;5;4;5;4;4;5;4;4;4;5;66;57.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
75235;Female;Loyal Customer;70;Personal Travel;Eco;1829;1;4;1;1;2;5;5;5;5;1;5;4;5;3;0;00.00;neutral or dissatisfied;No Delay;No Delay
88653;Female;Loyal Customer;55;Personal Travel;Eco;646;3;2;3;4;4;3;4;5;5;3;5;4;5;3;0;03.00;neutral or dissatisfied;No Delay;Short Delay (0-15 min)
26594;Male;Loyal Customer;66;Business travel;Eco;404;4;1;1;1;4;4;4;4;3;1;3;2;5;4;9;06.00;satisfied;Short Delay (0-15 min);Short Delay (0-15 min)
38339;Female;Loyal Customer;19;Business travel;Business;2738;5;5;5;5;3;4;3;3;5;3;3;1;2;3;0;00.00;satisfied;No Delay;No Delay
46063;Female;Loyal Customer;53;Personal Travel;Eco Plus;964;1;5;1;2;4;4;5;4;4;1;4;5;4;4;6;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
27957;Male;Loyal Customer;22;Business travel;Business;1660;2;2;2;2;2;2;2;2;4;3;2;2;4;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
17270;Female;Loyal Customer;69;Personal Travel;Eco;872;2;3;2;2;4;2;3;5;5;2;5;3;5;3;14;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
87976;Female;Loyal Customer;42;Business travel;Business;1898;5;5;5;5;5;4;4;5;5;5;5;4;5;3;49;47.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
31640;Female;Loyal Customer;41;Business travel;Business;967;2;2;2;2;2;3;5;4;4;4;4;5;4;5;44;40.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
41461;Female;Loyal Customer;53;Personal Travel;Business;1242;3;4;3;5;3;3;5;1;1;3;1;4;1;4;3;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
15143;Male;Loyal Customer;35;Business travel;Business;1042;3;2;2;2;2;4;3;3;3;3;3;3;3;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
78136;Female;Loyal Customer;54;Personal Travel;Business;153;3;5;3;5;2;4;5;2;2;3;2;4;2;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
120433;Male;Loyal Customer;44;Business travel;Business;366;3;3;2;3;2;5;4;4;4;4;4;3;4;4;5;24.00.00;satisfied;Short Delay (0-15 min);Medium Delay (15-30 min)
41440;Female;disloyal Customer;26;Business travel;Eco Plus;913;1;2;2;2;4;2;3;4;3;2;1;1;4;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
15963;Female;Loyal Customer;44;Personal Travel;Eco;528;2;5;2;3;2;5;4;5;5;2;5;3;5;3;0;00.00;neutral or dissatisfied;No Delay;No Delay
64303;Female;disloyal Customer;24;Business travel;Eco;1172;2;3;3;2;5;3;5;5;4;5;5;4;5;5;28;27.00.00;neutral or dissatisfied;Medium Delay (15-30 min);Medium Delay (15-30 min)
3608;Female;Loyal Customer;54;Personal Travel;Eco;999;2;4;2;4;4;5;5;5;5;2;5;5;5;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
7744;Male;Loyal Customer;42;Business travel;Eco Plus;489;2;2;2;2;2;2;2;2;4;3;3;1;2;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
21276;Male;disloyal Customer;36;Business travel;Eco;692;1;1;1;4;1;1;1;1;1;5;3;1;2;1;0;00.00;neutral or dissatisfied;No Delay;No Delay
58576;Female;Loyal Customer;61;Business travel;Business;1585;2;2;3;2;1;1;5;3;3;4;3;4;3;4;24;20.00;satisfied;Medium Delay (15-30 min);Medium Delay (15-30 min)
53888;Female;Loyal Customer;50;Personal Travel;Eco;140;2;4;2;4;4;4;5;2;2;2;2;3;2;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
10980;Male;Loyal Customer;27;Business travel;Business;2729;3;3;3;3;5;5;5;5;4;4;4;5;2;5;44;52.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
54151;Male;Loyal Customer;55;Business travel;Business;1400;3;5;5;5;4;3;2;3;3;3;3;1;3;4;1;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
115641;Male;disloyal Customer;21;Business travel;Eco;447;2;2;1;4;1;1;1;1;4;4;3;4;3;1;7;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
58584;Female;Loyal Customer;31;Personal Travel;Business;334;2;1;2;4;5;2;5;5;2;4;3;2;4;5;5;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
50472;Female;disloyal Customer;37;Business travel;Eco;158;1;2;1;3;1;1;1;1;1;4;3;4;3;1;24;20.00;neutral or dissatisfied;Medium Delay (15-30 min);Medium Delay (15-30 min)
102623;Female;Loyal Customer;50;Business travel;Business;3696;1;1;5;1;2;4;4;5;5;5;5;4;5;5;9;00.00;satisfied;Short Delay (0-15 min);No Delay
31533;Female;Loyal Customer;21;Personal Travel;Eco;846;1;4;1;3;3;1;3;3;5;4;5;4;5;3;9;17.00;neutral or dissatisfied;Short Delay (0-15 min);Medium Delay (15-30 min)
42287;Female;Loyal Customer;53;Business travel;Eco;329;1;0;0;3;1;3;3;4;4;1;4;4;4;1;0;00.00;neutral or dissatisfied;No Delay;No Delay
70467;Male;Loyal Customer;45;Business travel;Business;2580;3;3;3;3;3;4;4;5;5;5;5;3;5;4;0;11.00;satisfied;No Delay;Short Delay (0-15 min)
20461;Female;disloyal Customer;42;Business travel;Eco;84;3;5;3;1;5;3;5;5;5;5;3;5;4;5;0;34.00.00;neutral or dissatisfied;No Delay;Long Delay (>30 min)
113346;Male;Loyal Customer;59;Business travel;Business;3358;3;3;3;3;3;5;4;4;4;4;4;4;4;3;0;00.00;satisfied;No Delay;No Delay
115566;Female;Loyal Customer;54;Business travel;Eco;308;2;1;4;4;5;3;3;2;2;2;2;4;2;1;83;95.00.00;neutral or dissatisfied;Long Delay (>30 min);Long Delay (>30 min)
119896;Female;Loyal Customer;46;Business travel;Business;912;1;1;1;1;2;4;4;4;4;4;4;5;4;4;5;00.00;satisfied;Short Delay (0-15 min);No Delay
88853;Female;Loyal Customer;52;Personal Travel;Eco Plus;406;3;4;3;1;2;5;4;2;2;3;2;3;2;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
24895;Female;Loyal Customer;38;Personal Travel;Eco;397;2;5;2;2;5;2;5;5;5;4;4;5;5;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
31122;Male;Loyal Customer;35;Business travel;Business;2409;3;3;3;3;1;4;3;4;4;4;4;3;4;3;0;00.00;satisfied;No Delay;No Delay
91231;Female;Loyal Customer;41;Personal Travel;Eco;545;2;2;2;3;4;2;4;4;1;3;4;1;4;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
61426;Female;disloyal Customer;40;Business travel;Business;2419;2;2;2;3;4;2;4;4;3;2;3;3;5;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
68873;Female;disloyal Customer;36;Business travel;Eco;1061;2;2;2;1;4;2;4;4;1;4;2;4;2;4;13;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
125701;Male;Loyal Customer;67;Personal Travel;Eco;899;2;5;2;2;2;2;2;2;5;2;4;5;5;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
94999;Female;Loyal Customer;38;Personal Travel;Eco;293;4;4;4;4;5;4;5;5;2;2;4;4;4;5;5;00.00;satisfied;Short Delay (0-15 min);No Delay
56694;Female;Loyal Customer;50;Personal Travel;Eco;1085;3;5;3;2;5;5;5;5;5;3;5;3;5;4;0;00.00;neutral or dissatisfied;No Delay;No Delay
62010;Male;Loyal Customer;50;Business travel;Business;2475;5;5;5;5;2;5;4;2;2;2;2;3;2;5;0;00.00;satisfied;No Delay;No Delay
95868;Male;Loyal Customer;54;Business travel;Business;2544;5;5;3;5;5;4;5;3;3;3;3;4;3;5;62;66.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
123064;Male;Loyal Customer;56;Business travel;Business;2556;4;4;4;4;4;5;4;4;4;4;4;3;4;5;117;113.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
103418;Male;Loyal Customer;38;Personal Travel;Eco;237;3;4;3;4;2;3;2;2;3;3;4;4;3;2;0;02.00;neutral or dissatisfied;No Delay;Short Delay (0-15 min)
73456;Female;Loyal Customer;7;Personal Travel;Eco;1120;3;5;3;3;2;3;2;2;4;4;4;5;5;2;16;13.00;neutral or dissatisfied;Medium Delay (15-30 min);Short Delay (0-15 min)
8851;Female;Loyal Customer;32;Business travel;Business;2668;5;5;4;5;4;4;4;4;5;2;5;5;5;4;2;00.00;satisfied;Short Delay (0-15 min);No Delay
64241;Male;Loyal Customer;45;Business travel;Eco;1660;4;1;1;1;4;4;4;4;2;5;2;4;3;4;0;07.00;neutral or dissatisfied;No Delay;Short Delay (0-15 min)
81723;Male;disloyal Customer;25;Business travel;Eco;1310;2;2;2;4;3;2;3;3;1;4;3;1;4;3;0;24.00.00;neutral or dissatisfied;No Delay;Medium Delay (15-30 min)
88237;Female;Loyal Customer;45;Business travel;Business;2374;5;5;5;5;4;5;4;4;4;4;4;5;4;5;0;00.00;satisfied;No Delay;No Delay
50619;Male;Loyal Customer;34;Personal Travel;Eco;209;3;4;0;1;1;0;1;1;1;5;5;2;3;1;0;00.00;neutral or dissatisfied;No Delay;No Delay
54444;Male;Loyal Customer;20;Personal Travel;Eco Plus;305;3;4;3;3;1;3;1;1;3;3;4;4;5;1;5;02.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
64765;Female;disloyal Customer;36;Business travel;Eco;247;2;1;2;3;1;2;1;1;4;1;3;1;2;1;16;06.00;neutral or dissatisfied;Medium Delay (15-30 min);Short Delay (0-15 min)
15941;Male;disloyal Customer;36;Business travel;Eco;338;3;4;3;4;2;3;2;2;3;4;3;1;3;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
14965;Male;Loyal Customer;27;Business travel;Business;3200;1;1;1;1;5;5;5;5;4;5;2;2;1;5;0;00.00;satisfied;No Delay;No Delay
36897;Male;Loyal Customer;40;Personal Travel;Eco;1368;3;4;2;4;3;2;3;3;4;2;3;3;4;3;0;00.00;neutral or dissatisfied;No Delay;No Delay
127954;Male;Loyal Customer;31;Business travel;Business;1999;4;5;4;4;5;5;5;5;4;4;4;3;4;5;0;04.00;satisfied;No Delay;Short Delay (0-15 min)
27872;Male;Loyal Customer;25;Business travel;Eco Plus;680;0;5;0;2;1;0;1;1;3;1;4;5;5;1;0;00.00;satisfied;No Delay;No Delay
35854;Male;Loyal Customer;42;Business travel;Business;537;2;2;2;2;1;5;3;5;5;5;5;4;5;3;0;00.00;satisfied;No Delay;No Delay
14527;Female;Loyal Customer;45;Business travel;Eco;288;5;1;1;1;1;2;3;5;5;5;5;1;5;3;29;40.00.00;satisfied;Medium Delay (15-30 min);Long Delay (>30 min)
47021;Male;Loyal Customer;59;Personal Travel;Business;639;2;1;2;3;4;3;3;3;3;2;3;2;3;1;0;11.00;neutral or dissatisfied;No Delay;Short Delay (0-15 min)
11224;Male;Loyal Customer;34;Personal Travel;Eco;201;3;5;3;3;2;3;5;2;5;2;1;3;1;2;3;08.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
3921;Female;Loyal Customer;22;Personal Travel;Eco;213;3;5;3;4;3;3;1;3;1;5;1;3;2;3;0;17.00;neutral or dissatisfied;No Delay;Medium Delay (15-30 min)
69463;Male;Loyal Customer;21;Personal Travel;Eco;1096;2;2;2;4;2;2;3;2;3;1;3;2;4;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
47050;Male;Loyal Customer;26;Business travel;Business;1680;3;1;1;1;3;3;3;3;1;2;4;2;3;3;27;10.00;neutral or dissatisfied;Medium Delay (15-30 min);Short Delay (0-15 min)
21970;Male;Loyal Customer;37;Business travel;Business;2401;2;2;2;2;5;3;1;4;4;4;4;1;4;5;94;86.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
30046;Male;Loyal Customer;38;Business travel;Business;2746;2;2;2;2;2;5;2;4;4;4;4;1;4;5;0;00.00;satisfied;No Delay;No Delay
1256;Female;Loyal Customer;17;Personal Travel;Eco;89;3;4;3;1;5;3;3;5;3;4;5;5;5;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
73813;Male;Loyal Customer;15;Personal Travel;Eco Plus;192;2;4;2;3;5;2;5;5;5;4;5;5;5;5;5;08.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
110928;Female;Loyal Customer;53;Personal Travel;Eco;404;3;3;3;4;4;4;4;5;5;3;5;1;5;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
102981;Male;disloyal Customer;39;Business travel;Business;546;4;4;4;4;2;4;2;2;3;5;5;3;4;2;93;88.00.00;neutral or dissatisfied;Long Delay (>30 min);Long Delay (>30 min)
61571;Male;Loyal Customer;40;Business travel;Business;2400;4;3;4;4;2;4;5;5;5;5;5;3;5;3;0;00.00;satisfied;No Delay;No Delay
3796;Female;disloyal Customer;28;Business travel;Eco Plus;599;2;2;2;3;4;2;4;4;3;3;3;1;3;4;0;46.00.00;neutral or dissatisfied;No Delay;Long Delay (>30 min)
73906;Female;disloyal Customer;27;Business travel;Business;2342;3;3;3;4;2;3;2;2;4;3;5;3;5;2;10;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
74090;Female;Loyal Customer;41;Business travel;Business;3046;5;5;5;5;3;5;5;4;4;4;4;4;4;5;0;00.00;satisfied;No Delay;No Delay
76645;Female;Loyal Customer;7;Personal Travel;Eco;516;2;4;2;3;5;2;5;5;5;4;5;5;4;5;0;00.00;neutral or dissatisfied;No Delay;No Delay
100462;Male;disloyal Customer;48;Business travel;Business;759;3;3;3;2;2;3;2;2;4;2;5;4;5;2;2;01.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
54164;Male;Loyal Customer;13;Business travel;Eco;1400;2;1;1;1;2;1;2;2;4;3;3;3;4;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
6147;Female;Loyal Customer;48;Business travel;Business;491;3;3;3;3;4;4;4;4;4;4;4;3;4;5;0;00.00;satisfied;No Delay;No Delay
1262;Female;Loyal Customer;49;Personal Travel;Eco;134;3;3;3;3;5;3;3;4;4;3;4;1;4;4;8;03.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
20310;Male;disloyal Customer;26;Business travel;Business;900;5;5;5;3;1;5;1;1;4;3;5;5;5;1;5;00.00;satisfied;Short Delay (0-15 min);No Delay
46896;Male;Loyal Customer;22;Business travel;Business;3648;2;2;2;2;3;3;3;3;2;4;3;5;3;3;0;00.00;satisfied;No Delay;No Delay
7237;Female;Loyal Customer;53;Business travel;Business;3769;3;1;5;1;1;3;1;2;4;3;4;1;2;1;180;178.00.00;neutral or dissatisfied;Long Delay (>30 min);Long Delay (>30 min)
44293;Female;Loyal Customer;43;Business travel;Eco;563;4;4;4;4;3;5;5;4;4;4;4;5;4;5;0;00.00;satisfied;No Delay;No Delay
52496;Male;Loyal Customer;56;Business travel;Business;3131;1;1;1;1;2;5;4;4;4;4;5;4;4;5;0;00.00;satisfied;No Delay;No Delay
68263;Female;Loyal Customer;69;Personal Travel;Eco;631;3;5;2;5;3;3;4;5;5;2;5;1;5;1;0;00.00;neutral or dissatisfied;No Delay;No Delay
5289;Male;Loyal Customer;59;Personal Travel;Eco;351;4;3;4;4;1;4;1;1;1;5;4;2;4;1;0;00.00;satisfied;No Delay;No Delay
109359;Female;Loyal Customer;56;Business travel;Business;1189;5;5;3;5;5;4;5;2;2;2;2;4;2;3;9;00.00;satisfied;Short Delay (0-15 min);No Delay
94988;Male;Loyal Customer;11;Personal Travel;Eco;562;5;5;5;5;3;5;3;3;4;4;5;1;2;3;0;00.00;satisfied;No Delay;No Delay
53605;Female;Loyal Customer;25;Business travel;Eco;1874;4;3;3;3;4;4;3;4;3;1;4;5;1;4;86;78.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
11005;Female;disloyal Customer;29;Business travel;Eco;158;4;0;4;1;2;4;2;2;1;5;2;2;2;2;0;00.00;satisfied;No Delay;No Delay
14794;Female;Loyal Customer;48;Business travel;Eco;95;5;3;3;3;1;2;1;5;5;5;5;1;5;2;0;00.00;satisfied;No Delay;No Delay
49480;Female;Loyal Customer;42;Business travel;Business;266;1;1;1;1;4;3;4;4;4;4;4;2;4;1;0;00.00;satisfied;No Delay;No Delay
120440;Male;disloyal Customer;15;Business travel;Eco;449;1;4;1;2;3;1;4;3;1;3;5;4;5;3;0;00.00;neutral or dissatisfied;No Delay;No Delay
